invert_x,norm_row_y,head,soilMUSYM,soilkSat_1,soilOM_R_1
3,54,486.3598,,0,0
4,54,486.3146,,0,0
5,54,486.2902,,0,0
6,54,486.2754,,0,0
7,54,486.2623,,0,0
8,54,486.253,,0,0
9,54,486.2422,,0,0
10,54,486.2242,,0,0
11,54,486.2004,,0,0
12,54,486.1729,,0,0
14,54,486.1058,,0,0
15,54,486.067,,0,0
16,54,486.0276,,0,0
17,54,485.9871,,0,0
18,54,485.9404,,0,0
19,54,485.8925,,0,0
20,54,485.8424,,0,0
21,54,485.789,,0,0
22,54,485.732,,0,0
23,54,485.6726,,0,0
24,54,485.6107,,0,0
25,54,485.5463,,0,0
26,54,485.4789,,0,0
27,54,485.4083,,0,0
28,54,485.3352,,0,0
29,54,485.2602,,0,0
30,54,485.1835,,0,0
31,54,485.1066,,0,0
32,54,485.0263,,0,0
33,54,484.9419,,0,0
34,54,484.8519,,0,0
35,54,484.7568,,0,0
36,54,484.6559,,0,0
37,54,484.5458,,0,0
38,54,484.4349,,0,0
39,54,484.3159,,0,0
40,54,484.196,,0,0
41,54,484.0766,,0,0
42,54,483.9578,,0,0
43,54,483.8368,,0,0
44,54,483.7161,,0,0
45,54,483.5943,,0,0
47,54,483.3444,,0,0
48,54,483.2229,,0,0
49,54,483.1012,,0,0
50,54,482.9775,,0,0
51,54,482.8456,,0,0
52,54,482.7149,,0,0
53,54,482.5779,,0,0
54,54,482.4358,,0,0
55,54,482.2953,,0,0
56,54,482.1604,,0,0
57,54,482.0262,,0,0
58,54,481.8896,,0,0
59,54,481.7567,,0,0
60,54,481.6227,,0,0
61,54,481.4907,,0,0
62,54,481.3635,,0,0
63,54,481.2258,,0,0
64,54,481.0697,,0,0
65,54,480.8914,,0,0
66,54,480.6906,,0,0
67,54,480.4736,,0,0
68,54,480.2469,,0,0
69,54,480.0207,,0,0
70,54,479.7977,,0,0
71,54,479.6158,,0,0
72,54,479.482,,0,0
73,54,479.3764,,0,0
74,54,479.2831,,0,0
75,54,479.194,,0,0
76,54,479.0954,,0,0
77,54,478.9791,,0,0
78,54,478.8557,,0,0
79,54,478.7285,,0,0
80,54,478.585,,0,0
81,54,478.4362,,0,0
82,54,478.2901,,0,0
83,54,478.1435,,0,0
84,54,477.997,,0,0
85,54,477.8505,,0,0
86,54,477.7048,,0,0
87,54,477.5613,,0,0
88,54,477.4185,,0,0
89,54,477.2761,,0,0
90,54,477.1342,,0,0
91,54,476.9917,,0,0
92,54,476.8484,,0,0
93,54,476.7053,,0,0
94,54,476.5605,,0,0
95,54,476.4153,,0,0
96,54,476.2723,,0,0
97,54,476.1293,,0,0
98,54,475.9819,,0,0
99,54,475.8361,,0,0
100,54,475.6965,,0,0
101,54,475.551,,0,0
102,54,475.4066,,0,0
103,54,475.2658,,0,0
104,54,475.1265,,0,0
105,54,474.9873,,0,0
106,54,474.846,,0,0
107,54,474.7018,,0,0
108,54,474.5519,,0,0
109,54,474.39,,0,0
0,53,486.4092,,0,0
1,53,486.3786,,0,0
2,53,486.3449,,0,0
3,53,486.3083,,0,0
4,53,486.2698,,0,0
5,53,486.2508,,0,0
6,53,486.2403,,0,0
7,53,486.2309,,0,0
9,53,486.2023,,0,0
10,53,486.1799,,0,0
11,53,486.1534,,0,0
12,53,486.125,,0,0
13,53,486.0929,,0,0
14,53,486.0584,,0,0
15,53,486.0198,,0,0
16,53,485.9808,,0,0
17,53,485.9381,,0,0
18,53,485.8907,,0,0
19,53,485.8441,,0,0
20,53,485.7942,,0,0
21,53,485.7403,,0,0
22,53,485.6823,,0,0
